"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Containerized MPI Application on InfiniBand based HPC: An Empirical Study","M. Kumar; G. Kaur","University Institute of Computing Chandigarh University, Mohali, India; University Institute of Computing Chandigarh University, Mohali, India",2022 3rd International Conference for Emerging Technology (INCET),"15 Jul 2022","2022","","","1","6","Nowadays, containerization techniques for High Performance Computing (HPC) are becoming more prominent with the increase in the features and complexity of scientific applications. Message Passing Interface (MPI) applications have many dependencies in terms of other scientific libraries, new patches, new code versions, and bug fixes to effectively execute scientific workloads. The tasks of updating the version of the code, installing new patches, and troubleshooting build issues are very time-consuming and complicated. These problems are tackled by making MPI applications portable through the use of the containerization concept, which hides system-level dependencies and complexities. This work presents the challenges and approaches for building and executing containerized MPI applications on InfiniBand based HPC. The comprehensive performance evaluation of a containerized MPI application converted from Docker to Singularity is performed on HPC up to 880 MPI ranks using InfiniBand in reference to bare metal. In addition, profiling of MPI applications is done by running them in an isolated container environment on InfiniBand based HPC with 640 MPI ranks.","","978-1-6654-9499-1","10.1109/INCET54531.2022.9824366","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9824366","Containerization;Docker;High Performance Computing;InfiniBand;Message Passing Interface;Performance;Profiling;Singularity","Performance evaluation;Codes;Message passing;High performance computing;Computer bugs;Metals;Containers","","7","","27","IEEE","15 Jul 2022","27-29 May 2022","27-29 May 2022","IEEE","IEEE Conferences"
"An Architecture for Digital Processes in Manufacturing with Blockchain, Docker and Cloud Storage","G. Volpe; A. M. Mangini; M. P. Fanti","Department of Electrical and Information Engineering, Polytechnic of Bari, Bari, Italy; Department of Electrical and Information Engineering, Polytechnic of Bari, Bari, Italy; Department of Electrical and Information Engineering, Polytechnic of Bari, Bari, Italy",2021 IEEE 17th International Conference on Automation Science and Engineering (CASE),"5 Oct 2021","2021","","","39","44","The Blockchain is one of the last decade emerging technologies in software architectures. Its nature of a distributed ledger database allowing verifiable and tamper-proof transactions between untrusted parties makes it suitable for a vast class of domains concerning business processes, including Cloud Manufacturing, a new paradigm for the manufacturing industry based on cloud technologies, for which decentralization and security are key factors. However, existing solutions are still weak in terms of collaboration in providing and consuming heterogeneous services in the Cloud, therefore a standard framework is necessary to overcome this limit. In this paper, we suggest an architecture for consuming digital processes in a manufacturing environment, based on Blockchain and Smart Contracts. Our primary contribution is the integration of Blockchain with two other popular technologies: Docker, a highly portable and scalable container-based platform to run applications, and Cloud Storage. In this system, the logic of a single process is defined by the owner in a self-contained Docker image, whose digest is safely stored in the chain, while input and output files can be stored in a traditional cloud storage service. On each new consumer request, the best runner node is selected through the solution of a simple task assignment problem with a deep learning approach.","2161-8089","978-1-6654-1873-7","10.1109/CASE49439.2021.9551633","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551633","","Cloud computing;Software architecture;Distributed ledger;Smart contracts;Computer architecture;Production;Blockchains","","5","","25","IEEE","5 Oct 2021","23-27 Aug. 2021","23-27 Aug. 2021","IEEE","IEEE Conferences"
"Dual-layer Graph Retrieval-Augmented Large Language Models for Terraform Code Generation","D. Yu","School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, China",2026 6th International Symposium on Computer Technology and Information Science (ISCTIS),"29 Jun 2026","2026","","","438","443","The rapid evolution of large language models (LLMs) has presented significant opportunities for the automated generation of Infrastructure as Code (IaC), particularly for Terraform. However, when handling declarative languages with strict logical dependencies, existing approaches often struggle to bridge the semantic gap between ambiguous user instructions and precise cloud resource configurations. To address this challenge, this paper proposes a Terraform code generation framework based on Dual-layer Graph Retrieval-Augmented Generation (DG-RAG). The framework restructures the conventional generation pipeline into three stages. First, during intent decomposition, an intent orchestration graph is introduced to retrieve high-quality reference architectural cases, guiding the LLM in macro-level task decomposition and resource planning. Second, the retrieved graph substructures are utilized to conduct a targeted secondary retrieval within an underlying resource graph, enabling micro-level parameter completion and reducing syntactic errors. Finally, the architectural intent and code constraints are assembled to prompt the LLM to generate compliant HashiCorp Configuration Language (HCL) code. To evaluate the practical applicability of the proposed system, comprehensive ablation studies and cross-model experiments were conducted on the IaC-Eval dataset. Experimental results demonstrate that, compared to conventional baseline systems, the proposed method improves the execution success rate by 62% in complex architectural scenarios, while resource coverage and required parameter coverage increase by 53.5% and 38.%, respectively. Ultimately, this framework effectively mitigates semantic omissions and enhances the reliability and generalizability of LLM-based Terraform generation.","","979-8-3315-4711-0","10.1109/ISCTIS70043.2026.11572212","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11572212","Infrastructure as Code;Cloud Native;Large Language Model;Code Generation;Retrieval-Augment Generation","Modeling;Codes;Retrieval augmented generation;Large language models;Infrastructure as Code;Natural languages;Context;Pipelines;Cognition;Cognitive systems","","","","6","IEEE","29 Jun 2026","15-17 May 2026","15-17 May 2026","IEEE","IEEE Conferences"
"ConPan: A Tool to Analyze Packages in Software Containers","A. Zerouali; V. Cosentino; G. Robles; J. M. Gonzalez-Barahona; T. Mens","University of Mons, Belgium; Bitergia, Spain; Universidad Rey Juan Carlos, Spain; Universidad Rey Juan Carlos, Spain; University of Mons, Belgium",2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR),"29 Aug 2019","2019","","","592","596","Deploying software packages and services into containers is a popular software engineering practice that increases portability and reusability. Docker, the most popular containerization technology, helps DevOps practitioners in their daily activities. Despite being successfully and increasingly employed, containers may include buggy and vulnerable packages that put at risk the environments in which the containers have been deployed. Existing quality and security monitoring tools provide only limited support to analyze Docker containers, thus forcing practitioners to perform additional manual work or develop adhoc scripts when the analysis goes beyond security purposes. This limitation also affects researchers desiring to empirically study the evolution dynamics of Docker containers and their contained packages. To overcome this limitation, we present ConPan, an automated tool to inspect the characteristics of packages in Docker containers, such as their outdatedness and other possible flaws (e.g., bugs and security vulnerabilities). ConPan comes with a CLI and API, and the analysis results can be presented to the user in a variety of formats.","2574-3864","978-1-7281-3412-3","10.1109/MSR.2019.00089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8816741","Containers;vulnerabilities;bugs;outdated-software;Docker","Containers;Computer bugs;Tools;Security;Libraries;Python","","9","","27","IEEE","29 Aug 2019","25-31 May 2019","25-31 May 2019","IEEE","IEEE Conferences"
"npm-filter: Automating the mining of dynamic information from npm packages","E. Arteca; A. Turcotte",NA; NA,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),"21 Jun 2022","2022","","","304","308","The static properties of code repositories, e.g., lines of code, dependents, dependencies, etc. can be readily scraped from code hosting platforms such as GitHub, and from package management systems such as npm for JavaScript; Although no less important, information related to the dynamic properties of programs, e.g., number of tests in a test suite that pass or fail, is less readily available. The ability to easily collect this dynamic information could be immensely useful to researchers conducting corpus analyses, as they could differentiate projects based on properties that can only be observed by running them. In this paper, we present npm-filter, an automated tool that can download, install, build, test, and run custom user scripts over the source code of JavaScript projects available on npm, the most popular JavaScript package manager. We outline this tool, describe its implementation, and show that npm-filter has already been useful in developing evaluation suites for multiple JavaScript tools.","2574-3864","978-1-4503-9303-4","10.1145/3524842.3528501","National Science Foundation(grant numbers:CCF-1715153,CCF-1907727); Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796254","JavaScript;npm;corpus analysis;tool evaluation","Codes;Metadata;Software;Performance analysis;Data mining;Software development management;Testing","","2","","30","","21 Jun 2022","23-24 May 2022","23-24 May 2022","IEEE","IEEE Conferences"
"Sentimentalizer: Docker container utility over Cloud","K. Kumar; M. Kurhekar","VNIT Nagpur, India; VNIT Nagpur, India",2017 Ninth International Conference on Advances in Pattern Recognition (ICAPR),"30 Dec 2018","2017","","","1","6","In this computer era, the most interesting thing is to determine the human opinion using machines. Humans use opinions for conveying their response on a host of things to others. With the increasing popularity and availability of enriching opinion mediums such as personal blogs, forum discussions, online review sites, and micro blogging sites like Twitter, there are new challenges and opportunities for using this information to understand and analyze the sentiments of others. However, web texts usually seem noisy and represent significant issues at the lexical as well as the syntactic level. In this paper, lightweight Docker container is employed over cloud as a utility for sentiment analysis using the four popular classification approaches. It analyzes the reviewer's comment on a product across multiple websites. The analyzed information can be used as a recommendation for the product to a customer. The evaluation process on NLTK benchmark movie review dataset is performed with accuracy, computational cost and resources utilization. The computational analysis shows that our proposed approach meets the requirements of the real time applications over Cloud.","","978-1-5386-2241-4","10.1109/ICAPR.2017.8593104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593104","Docker container;Cloud;Sentimental analyzer;Opinion mining;Virtualization","Containers;Cloud computing;Feature extraction;Tools;Training;Sentiment analysis;Motion pictures","","34","","19","IEEE","30 Dec 2018","27-30 Dec. 2017","27-30 Dec. 2017","IEEE","IEEE Conferences"
"Detection and Analysis of Poisoned Image in Container Registry","S. Pang; Y. Wang; Y. Yao; Z. Jiang; Z. Fan; B. Liu","Institute of Information Engineering Chinese Academy of Sciences, Beijing, China; Institute of Information Engineering Chinese Academy of Sciences, Beijing, China; Institute of Information Engineering Chinese Academy of Sciences, Beijing, China; Institute of Information Engineering Chinese Academy of Sciences, Beijing, China; Institute of Information Engineering Chinese Academy of Sciences, Beijing, China; Institute of Information Engineering Chinese Academy of Sciences, Beijing, China",2025 IEEE 36th International Symposium on Software Reliability Engineering (ISSRE),"13 Nov 2025","2025","","","440","451","Container technology provides isolated, consistent, and efficient application environments across diverse computing platforms. Docker, as the dominant container platform, simplifies container creation, deployment, and operation. However, the integrity of the container supply chain is threatened by malicious “poisoned” images distributed via public registries like Docker Hub, which pose significant security risks to unsuspecting users. This study presents the first comprehensive investigation into this container registry image supply chain threat. We reveal that image poisoning occurs primarily during the build phase, where attackers embed malicious payloads into Dockerfiles and associated build artifacts via specific common vectors. To empirically assess this threat, we developed a detection system combining dynamic and static analysis. Scanning 214,920 images from public registries, we identified 122 poisoned images with high precision ($\mathbf{9 5. 3 1 \%}$). Our in-depth analysis shows these compromised images serve diverse malicious purposes, with cryptocurrency mining being prevalent, and exhibit significant characteristic differences compared to benign images. Finally, we propose concrete mitigation measures to improve the security of the Docker ecosystem. We reported our findings to Docker and received its confirmation.","2332-6549","979-8-3503-9302-6","10.1109/ISSRE66568.2025.00051","Youth Innovation Promotion Association; Ministry of Education; Chinese Academy of Sciences; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11229784","Docker Ecosystem;Malicious Payload;Poisoned Image;Software Supply Chain Security","Prevention and mitigation;Ecosystems;Supply chains;Static analysis;Containers;Vectors;Cryptocurrency;Security;Trojan horses;Payloads","","","","52","IEEE","13 Nov 2025","21-24 Oct. 2025","21-24 Oct. 2025","IEEE","IEEE Conferences"
"Comparison between Chunk-Based and Layer-Based Container Image Storage Approaches: an Empirical Study","Y. Li; B. An; J. Ma; D. Cao","Ministry of Education, (Peking University), Beijing, China; Ministry of Education, (Peking University), Beijing, China; Ministry of Education, (Peking University), Beijing, China; Ministry of Education, (Peking University), Beijing, China",2019 IEEE International Conference on Service-Oriented System Engineering (SOSE),"6 May 2019","2019","","","197","1975","Container management frameworks, such as Docker, pack applications and their complex software environment in self-contained images, which facilitates application deployment, distribution, and sharing. Currently, container images are organized in a multi-layer file-system manner. For example, Docker uses AUFS to organize its container image storage. However, when a new version is created, all the changes are stored in a new layer via a Copy-On-Write mechanism, which can trigger a heavy burden for the network and storage. There are also other image storage approaches such as chunk-based technology. In this paper, we suggest that the container image storage system should not use one storage technology for all images, but should choose different technology for concrete images according to the image's distinct features. We design some experiments to compare the layer-based and chuck-based technology. And based on the analysis of the collected data, this paper gives some principles for the selection of image management techniques and discusses some interesting potential research topics.","2642-6587","978-1-7281-1442-2","10.1109/SOSE.2019.00034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8705777","Docker;image;storage;casync;chunk","Containers;Image storage;Measurement;Software;Indexes;Cloud computing;Tools","","9","","21","IEEE","6 May 2019","4-9 April 2019","4-9 April 2019","IEEE","IEEE Conferences"
"DockInsight: A Knowledge-Augmented Dependency Extraction Approach for Dockerfile","Z. Zhu; T. Chen; Y. Zhong; Q. Song","School of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China; School of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China; School of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China; School of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China",2025 IEEE/ACM 22nd International Conference on Software and Systems Reuse (ICSR),"10 Jun 2025","2025","","","67","77","DevOps enhances software production through IT automation, continuous integration, and deployment, with Docker as a key tool that packages applications and their environments into standardized images for consistent and efficient deployment. Dockerfiles, which are text-based configuration files, define the composition and runtime actions of these images. Mismanagement of dependencies between Dockerfile instructions can cause build failures, highlighting the need for accurate dependency parsing. Current methods often miss implicit dependencies due to the complex syntax and logic of Dockerfile instructions. To address this, we propose DockInsight, a novel tool that uses a rule-based approach and semantic analysis to determine Dockerfile dependencies accurately. DockInsight features a unified feature structure representation, DVector, and a dependency type table to facilitate precise dependency determination. Evaluations demonstrate that DockInsight achieves 99.44% accuracy, significantly outperforming keyword matching and large language model methods by 64.84% and 55.74%, respectively. Additionally, DockInsight maintains stable processing times across various Dockerfile lengths, proving its efficiency and scalability. Our ablation study further highlights the importance of semantic information supplementation, particularly for RUN instructions, in enhancing accuracy. DockInsight’s robust performance makes it a valuable tool for developers and DevOps engineers, contributing to more reliable and maintainable Dockerfiles.","","979-8-3315-2617-7","10.1109/ICSR66718.2025.00013","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11024505","Dockerfile;Dependency Analysis;DevOps","Accuracy;DevOps;Runtime;Scalability;Semantics;Syntactics;Feature extraction;Reliability engineering;Software;Usability","","","","28","IEEE","10 Jun 2025","27-28 April 2025","27-28 April 2025","IEEE","IEEE Conferences"
"Harnessing the Power of LLMs for Code Smell Detection in Terraform Infrastructure as Code","Q. -H. Vo; H. Dao; K. Fukuda","The Graduate University for Advanced Studies, Tokyo, Japan; Max Planck Institute for Informatics, Saarbrücken, Germany; NII/Sokendai, Tokyo, Japan","2025 IEEE 49th Annual Computers, Software, and Applications Conference (COMPSAC)","26 Aug 2025","2025","","","533","542","Terraform is a widely used Infrastructure as Code (IaC) tool that simplifies cloud resource management through declarative configuration. However, Terraform configurations often exhibit code smells, which can introduce security vulnerabilities, maintainability challenges, and operational inefficiencies. While code smells have been extensively studied in other IaC platforms, research on Terraform remains limited, and existing static analysis tools struggle to detect a broad range of code smells. In this paper, we harness large language models (LLMs) for automated Terraform code smell detection, leveraging their ability to generalize beyond predefined rule-based heuristics. We construct a synthetic benchmark dataset of 42 Terraform configurations covering 14 distinct code smells and evaluate detection performance across traditional linters and LLM-based approaches. Our results show that LLMs significantly outperform static analysis tools, detecting a broader range of code smells, especially logic-related code smells. We extend our analysis to real-world repositories with 71 high-quality Terraform projects from GitHub. Our findings reveal that 84.5% of repositories contain at least one code smell. Notably, some repositories accumulate a high number of unique code smells, with one exhibiting nine distinct issues, underscoring severe quality concerns. Moreover, we find that code smells persist across repositories regardless of popularity, affecting even widely used projects with thousands of stars and forks.","2836-3795","979-8-3315-7434-5","10.1109/COMPSAC65507.2025.00075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11126823","IaC;code smell;LLM","Codes;Large language models;Prevention and mitigation;Stars;Static analysis;Software;Security;Resource management;Synthetic data;Software development management","","1","","53","IEEE","26 Aug 2025","8-11 July 2025","8-11 July 2025","IEEE","IEEE Conferences"
"A Dataset of Dockerfiles","J. Henkel; C. Bird; S. K. Lahiri; T. Reps","University of Wisconsin, Madison, USA; Microsoft Research, USA; Microsoft Research, USA; University of Wisconsin, Madison, USA",2020 IEEE/ACM 17th International Conference on Mining Software Repositories (MSR),"20 Jun 2023","2020","","","528","532","Dockerfiles are one of the most prevalent kinds of DevOps artifacts used in industry. Despite their prevalence, there is a lack of sophisticated semantics-aware static analysis of Dockerfiles. In this paper, we introduce a dataset of approximately 178,000 unique Dockerfiles collected from GitHub. To enhance the usability of this data, we describe five representations we have devised for working with, mining from, and analyzing these Dockerfiles. Each Dockerfile representation builds upon the previous ones, and the final representation, created by three levels of nested parsing and abstraction, makes tasks such as mining and static checking tractable. The Dockerfiles, in each of the five representations, along with metadata and the tools used to shepard the data from one representation to the next are all available at: https://doi.org/10.5281/zenodo.3628771.","2574-3864","978-1-4503-7517-7","10.1145/3379597.3387498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10148691","Datasets;Docker;DevOps;Bash;Mining","Industries;Static analysis;Metadata;Software;Data mining;Usability;Task analysis","","7","","12","","20 Jun 2023","25-26 May 2020","25-26 May 2020","IEEE","IEEE Conferences"
"A Tool for Automatic Generation of Data Mining Practice Environments","F. Terroso-Sáenz; A. Hernández","Polytechnic School, Universidad Católica de Murcia (UCAM), Murcia, Spain; Polytechnic School, Universidad Católica de Murcia (UCAM), Murcia, Spain",IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,"4 Aug 2021","2021","16","2","171","179","Data analysis subjects are an important part of the computer science degree. In these subjects, seminars and practical sessions where students can practice with different data mining algorithms and techniques are a paramount part. This usually involves the installation and deployment of a common development environment for all the students including libraries, databases, datasets and so forth. Due to the heterogeneity of these environments and the characteristics of the undergraduates, such a configuration and deployment might be an important task in the seminars schedule. Consequently, the present work puts forward an open-source tool for the automatic deployment of data-mining environments based on Docker containers. By means of this tool, the teacher can specify the parameters of the environment to deploy. This results in a set of virtual images comprising the whole practice environment that can be easily distributed among students. This way, we meaningfully optimize the aforementioned deployment step and we also guarantee that all students work with the same practice environment. Finally, we have evaluated the performance of the tool and the level of satisfaction of the students with the generated environments showing quite promising results.","1932-8540","","10.1109/RITA.2021.3089922","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9458254","Virtualization;containers;machine learning;environment","Tools;Containers;Virtualization;Data analysis;Libraries;Machine learning;Engines","","","","18","IEEE","17 Jun 2021","May 2021","","IEEE","IEEE Journals"
"Dynamic Data Processing on Edge Locations of CDN Network","M. Kyryk; N. Pleskanka; M. Pleskanka","Department of Telecommunication, Lviv Polytechnic National University, Lviv, Ukraine; Department of Computer-Aided Design, Lviv Polytechnic National University, Lviv, Ukraine; Department of Telecommunication, Lviv Polytechnic National University, Lviv, Ukraine","2024 IEEE 17th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)","25 Nov 2024","2024","","","462","465","The main methods and principles of building infrastructure as a code in Cloud, microservice architecture are considered. An algorithm of dynamic data processing in the edge location is proposed to improve quality of service. A simulation modelling of the dynamic application microservice creating, which works based on developed algorithm in the content delivery network (CDN) was performed. Based on the obtained simulation results, graphical dependencies of the efficiency of using dynamic data processing in the edge location depending on the load and the number of requests from clients are presented. The results confirm the effectiveness of using dynamic data processing in the edge locations when the number of requests increases, at the same time keeping the delay time within satisfactory limits.","","979-8-3315-2056-4","10.1109/TCSET64720.2024.10755767","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10755767","CDN network;load balancing;microservice architecture;cloud computing;edge server;Infrastructure as Code;data processing;IoT;the edge compute","Content distribution networks;Heuristic algorithms;Simulation;Microservice architectures;Quality of service;Data processing;Delays;Servers;Data communication;Load modeling","","","","17","IEEE","25 Nov 2024","8-12 Oct. 2024","8-12 Oct. 2024","IEEE","IEEE Conferences"
"On the Impact of Outdated and Vulnerable Javascript Packages in Docker Images","A. Zerouali; V. Cosentino; T. Mens; G. Robles; J. M. Gonzalez-Barahona","UMONS, Belgium; Bitergia, Spain; UMONS, Belgium; URJS, Spain; URJS, Spain","2019 IEEE 26th International Conference on Software Analysis, Evolution and Reengineering (SANER)","18 Mar 2019","2019","","","619","623","Containerized applications, and in particular Docker images, are becoming a common solution in cloud environments to meet ever-increasing demands in terms of portability, reliability and fast deployment. A Docker image includes all environmental dependencies required to run it, such as specific versions of system and third-party packages. Leveraging on its modularity, an image can be easily embedded in other images, thus simplifying the way of sharing dependencies and building new software. However, the dependencies included in an image may be out of date due to backward compatibility requirements, endangering the environments where the image has been deployed with known vulnerabilities. While previous research efforts have focused on studying the impact of bugs and vulnerabilities of system packages within Docker images, no attention has been given to third-party packages. This paper empirically studies the impact of npm JavaScript package vulnerabilities in Docker images. We based our analysis on 961 images from three official repositories that use Node.js, and 1,099 security reports of packages available on npm, the most popular JavaScript package manager. Our results reveal that the presence of outdated npm packages in Docker images increases the risk of potential security vulnerabilities, suggesting that Docker maintainers should keep their installed JavaScript packages up to date.","1534-5351","978-1-7281-0591-8","10.1109/SANER.2019.8667984","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8667984","Docker;npm;JavaScript;empirical analysis;security vulnerability;outdated software","Security;Libraries;Operating systems;Time measurement;Data mining;Software reliability","","34","","15","IEEE","18 Mar 2019","24-27 Feb. 2019","24-27 Feb. 2019","IEEE","IEEE Conferences"
"Quality-Aware DevOps Research: Where Do We Stand?","A. Alnafessah; A. U. Gias; R. Wang; L. Zhu; G. Casale; A. Filieri","Department of Computing, Imperial College London, London, U.K.; Department of Computing, Imperial College London, London, U.K.; Department of Computing, Imperial College London, London, U.K.; Department of Computing, Imperial College London, London, U.K.; Department of Computing, Imperial College London, London, U.K.; Department of Computing, Imperial College London, London, U.K.",IEEE Access,"24 Mar 2021","2021","9","","44476","44489","DevOps is an emerging paradigm that reduces the barriers between developers and operations teams to offer continuous fast delivery and enable quick responses to changing requirements within the software life cycle. A significant volume of activity has been carried out in recent years with the aim of coupling DevOps stages with tools and methods to improve the quality of the produced software and the underpinning delivery methodology. While the research community has produced a sustained effort by conducting numerous studies and innovative development tools to support quality analyses within DevOps, there is still a limited cohesion between the research themes in this domain and a shortage of surveys that holistically examine quality engineering work within DevOps. In this paper, we address the gap by comprehensively surveying existing efforts in this area, categorizing them according to the stage of the DevOps lifecycle to which they primarily contribute. The survey holistically spans across all the DevOps stages, identify research efforts to improve architectural design, modeling and infrastructure-as-code, continuous-integration/continuous-delivery (CI/CD), testing and verification, and runtime management. Our analysis also outlines possible directions for future work in quality-aware DevOps, looking in particular at AI for DevOps and DevOps for AI software.","2169-3536","","10.1109/ACCESS.2021.3064867","National Center for Artificial Intelligence and Big Data Technologies, King Abdulaziz City for Science and Technology (KACST), Saudi Arabia; Commonwealth Scholarship Commission in the U.K.; RADON project, funded by the European Union’s Horizon 2020 Research and Innovation Program(grant numbers:825040); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9373305","DevOps;CI/CD;infrastructure as code;testing;artificial intelligence;verification","Software;Testing;Artificial intelligence;Computer architecture;Tools;Production;Software architecture","","48","","68","CCBY","9 Mar 2021","2021","","IEEE","IEEE Journals"
"Forensic Analysis of Cryptojacking in Host-Based Docker Containers Using Honeypots","J. Franco; A. Acar; A. Aris; S. Uluagac","Cyber-Physical Systems Security Lab., Florida International University, Florida, USA; Cyber-Physical Systems Security Lab., Florida International University, Florida, USA; Cyber-Physical Systems Security Lab., Florida International University, Florida, USA; Cyber-Physical Systems Security Lab., Florida International University, Florida, USA",ICC 2023 - IEEE International Conference on Communications,"23 Oct 2023","2023","","","4860","4865","Blockchain-based cryptocurrencies have transformed financial transactions and created opportunities to profit from generating new coins through cryptomining. This has led to cybercriminals stealthily using their victim's computational power and resources for their own profit. Recent trends point to an increase in cryptojacking malware targeting devices with greater processing power such as host-based docker engines for faster and greater profit. In our study, we perform a forensic analysis for detecting cryptojacking (i.e., unauthorized cryptomining) in Docker containers using honeypots. Then, we present countermeasures for securing host-based Docker containers. In addition, we propose an approach for monitoring host-based Docker containers for cryptojacking detection. To the best of our knowledge, this is the first study investigating cryptojacking detection with the use of a honeypot system. Our results reveal that host resource usage and network traffic are the key indicators of possible unauthorized cryptomining in Docker containers.","1938-1883","978-1-5386-7462-8","10.1109/ICC45041.2023.10278764","Microsoft; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10278764","Cryptojacking;Honeypot;Network Security;Docker","Performance evaluation;Forensics;Telecommunication traffic;Machine learning;Containers;Market research;Malware","","5","","37","IEEE","23 Oct 2023","28 May-1 June 2023","28 May-1 June 2023","IEEE","IEEE Conferences"
"Database Patterns for the Cloud and Docker Integrated Environment using Open Source Machine Learning","S. Kiran; V. C. S. Rao; S. Venkatramulu; M. S. B. Phridviraj; S. Pratapagiri; S. Madugula","Department of CSE, Kakatiya Institute of Technology and Science, Warangal, Telangana, India; Department of CSE, Kakatiya Institute of Technology and Science, Warangal, Telangana, India; Department of CSE, Kakatiya Institute of Technology and Science, Warangal, Telangana, India; Department of CSE, Kakatiya Institute of Technology and Science, Warangal, Telangana, India; Department of CSE, Kakatiya Institute of Technology and Science, Warangal, Telangana, India; Department of CSE, Jyothishmathi Institute of Technology and Science, Karimnagar, Telangana, India",2022 International Conference on Electronics and Renewable Systems (ICEARS),"13 Apr 2022","2022","","","1909","1911","Computer vision, natural language processing, sentiment analysis, and fraud detection are just a few of the sectors, where significant area of research are Machine and predictive analysis. Machine learning can be used to train or set up software and application of H/W for mining specially and the acquisition data. In order to extract accuracy and performance among datasets utilizes unsupervised and supervised data, MLDB for high-performance data analytics for a variety of applications is presented in the work as usage patterns of an open source machine learning platform.","","978-1-6654-8425-1","10.1109/ICEARS53579.2022.9751894","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9751894","Data Analytics;Machine Learning;MLDB;Predictive Mining","Sentiment analysis;Renewable energy sources;Computer vision;Databases;Training data;Machine learning;Knowledge discovery","","1","","18","IEEE","13 Apr 2022","16-18 March 2022","16-18 March 2022","IEEE","IEEE Conferences"
"Docker Container Networking Based Apache Storm and Flink Benchmark Test","T. Liu; Z. Yang; Y. Sun","Dept. of Computer Technology, China University of Mining and Technology, Beijing, Beijing, China; Dept. of Computer Technology, China University of Mining and Technology, Beijing, Beijing, China; Dept. of Computer Science Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China",2021 22nd Asia-Pacific Network Operations and Management Symposium (APNOMS),"14 Oct 2021","2021","","","49","52","Many distributed stream computing engines have emerged to handle big data, and they can be deployed in cloud environments consisting of native networks or container networks. Most of the benchmark research on stream computing engines are carried out under the native network, and the research on the impact on container network on stream computing engines is currently inadequate. However, the use of container network will inevitably lead to performance degradation, which is the disadvantage of all virtual networks. In this work, we build Apache Storm and Apache Flink, which are Streaming Computation Engines in container network and native network environments and conduct performance measurements through experiments processing textual data to verify how much performance decreases in container network. Experiments show that the throughput in a container network environment is 1%-5% lower and CPU utilization is 11%-18% lower than in a local network environment.","2576-8565","978-4-88552-332-8","10.23919/APNOMS52696.2021.9562644","Institute of Computing Technology, Chinese Academy of Sciences; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9562644","Container Network;Apache Storm;Apache Flink;Streaming Computation Engines;Benchmark Test","Measurement;Degradation;Cloud computing;Storms;Containers;Benchmark testing;Big Data","","2","","10","","14 Oct 2021","8-10 Sept. 2021","8-10 Sept. 2021","IEEE","IEEE Conferences"
